日期,经度,纬度
2020-02-04,116.75269,36.55045
2020-02-04,117.11884,36.170434
2020-02-04,117.097095,36.193129
2020-02-04,116.75269,36.55045
2020-02-04,0.0,0.0
2020-02-04,116.089221,35.386128
2020-02-04,0.0,0.0
2020-02-05,117.626941,35.483039
2020-02-05,0.0,0.0
2020-02-05,117.668455,36.203176
2020-02-05,0.0,0.0
2020-02-05,119.797042,36.377548
2020-02-05,0.0,0.0
2020-02-05,118.829654,36.696511
2020-02-05,118.83827,36.699767
2020-02-05,118.83827,36.699767
2020-02-05,118.980996,36.352256
2020-02-05,118.980996,36.352256
2020-02-05,118.970717,36.35236
2020-02-05,118.970717,36.35236
2020-02-05,118.830273,36.693132
2020-02-05,117.047849,36.667658
2020-02-05,116.988004,36.649269
2020-02-05,120.517693,36.894096
2020-02-05,0.0,0.0
2020-02-05,115.798741,36.118275
2020-02-05,115.785981,36.125049
2020-02-05,117.226847,35.089726
2020-02-05,117.163056,35.088216
2020-02-05,118.827979,36.697591
2020-02-05,118.83033,36.698025
2020-02-05,118.83033,36.698025
2020-02-05,118.83827,36.699767
2020-02-05,118.83827,36.699767
2020-02-05,118.980996,36.352256
2020-02-05,118.980996,36.352256
2020-02-05,118.970717,36.35236
2020-02-05,120.33469,37.337191
2020-02-05,120.451932,37.36033
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,116.008025,36.473996
2020-02-05,0.0,0.0
2020-02-05,115.992947,36.409453
2020-02-05,116.008025,36.473996
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.75269,36.55045
2020-02-05,0.0,0.0
2020-02-05,116.689138,36.199945
2020-02-05,0.0,0.0
2020-02-05,116.689138,36.199945
2020-02-05,0.0,0.0
2020-02-05,117.056593,35.904173
2020-02-05,0.0,0.0
2020-02-05,117.097095,36.193129
2020-02-05,117.087357,36.147015
2020-02-06,115.781476,36.112098
2020-02-06,115.782999,36.115283
2020-02-06,116.171695,37.165069
2020-02-06,116.077382,37.216028
2020-02-06,117.738356,34.560797
2020-02-06,0.0,0.0
2020-02-06,116.000733,36.440461
2020-02-06,116.008025,36.473996
2020-02-06,116.000733,36.440461
2020-02-06,116.008025,36.473996
2020-02-06,115.944373,36.430123
2020-02-06,115.97851,36.458263
2020-02-06,115.944373,36.430123
2020-02-06,115.97851,36.458263
2020-02-06,115.980069,36.446162
2020-02-06,115.97851,36.458263
2020-02-06,117.226847,35.089726
2020-02-06,117.163056,35.088216
2020-02-06,120.451932,37.36033
